cz2000_res,WHat,VbarHat,RealIncHat,LMhat,LRhat,QHat,PHat,PriceHat,OwnCommutingHat,OwnTradeHat,ownTrade
1,-0.0012413056302942316,-0.008968580528177839,-0.002560219908856909,0.0034559540250049814,-0.008804673154585108,-0.014127784060639081,-0.0012560854240927233,-0.006424809544627652,-0.019618594148075985,0.0034114067703938655,0.3402584413775028
2,-0.000328171409016087,-0.0060254833733216495,-0.0007684630685081961,0.013850662400243907,-0.0038374405521921506,-0.010234507600088372,-0.001931557557638519,-0.005261063237612662,-0.020977142659676318,0.008980099444411804,0.34260267328823724
3,-0.0018229735593457974,0.02228855981300737,0.026618664216313093,-0.0020549800615626834,-0.034340991872292004,-0.010913049256834229,0.00027080640376420106,-0.0042178313664413825,-0.034340991872292115,0.004238081765169932,0.018777989097663546
4,0.000022055426838640813,-0.0004944396240139648,-0.00011354745703151536,-0.005142834516572936,0.000037203540036667704,-0.0004488903432953162,-0.00033562957323785003,-0.0003809354212309657,-0.044711513138106396,-0.006209965648645066,0.07589625986298545
5,-0.003117212727231866,-0.0064229663722447095,0.0022381087330012317,-0.00035352842752855995,-0.008661670644220965,-0.01920437582986423,-0.0015368514191320681,-0.008641733964990683,-0.017743598202467847,0.004408240202536495,0.6455341875330641
6,-0.0005932829731374323,-0.0036822727636862673,0.0017150805549268622,-0.004456551671005449,-0.008207454167937112,-0.013154498745075904,-0.00017659492024924006,-0.005388112272027623,-0.021704000534705337,-0.003210800459481633,0.05623876309674175
7,-0.0004590736259599826,0.0008447203256536362,0.003966525147058864,-0.01959008883644031,-0.011990412004264983,-0.008714266717264718,0.0006446538885214181,-0.0031094710263849246,-0.03302034855601199,-0.01633869400998489,0.1546478710878859
8,0.00045097987462794364,-0.009938405436560438,-0.01159860311873806,0.011689949803360244,0.017215007652975345,0.005771645473060971,-0.0010390444864621928,0.0016796796194502583,-0.053087361471954364,0.007176389312712139,0.03870665124439319
9,-0.002175898640353058,-0.005268989867504126,0.001535351026442866,-0.01909077188476982,-0.01782565434350103,-0.019570624270444648,0.0018162680556117472,-0.0067939098574738566,-0.022603982904337627,-0.0072701275373181495,0.5512374619594314
10,0.0005311949222284174,-0.003610084182822715,0.00033251647739174217,0.014585942607131308,-0.0035541460975877515,-0.007287653862554255,-0.0017041164313829071,-0.003941290116308616,-0.02344137890191078,0.00780098940702878,0.2429134394982404
11,-0.0006143055243228446,-0.005069543815537703,-0.0004924351478966527,0.01118139876569102,-0.0035215343586312287,-0.009446472692818397,-0.0013213457034605414,-0.004579363707285511,-0.026100118478854628,0.009036760731423898,0.22599912387805268
12,0.0006979690204791389,0.06293650800531858,0.03627116624898963,-0.060639850542223206,-0.010698096443586436,0.06509334722650784,0.00030260797814030127,0.025732011682666034,-0.16588015606286732,-0.06175279283650015,0.0665174128724376
